пп;Код;Автор;Наименование;Издат-во;ISBN;Станд.;Код аналога;Год;ФП;ФГОС;02 ИЗДАТЕЛЬСКИЙ ТИП ЦЕН;;03 Оптовая
2230;55602896;Матвеева Н.В., Челак Е.Н., Конопатова Н.К., Панкра;Матвеева Информатика 4 кл., Р/Т  ч.2. ФГОС (Бином);Бином;978-5-9963-4895-4;25; ;2019; ;ФГОС;126;;126
2231;55636997;Матвеева Н.В., Долгова Г.И.;Матвеева Проекты в начальной школе : методическое пособие (Бином);Бином;978-5-9963-4066-8;25; ;2018; ; ;438.9;;417
2232;55609840;Могилёв А.В., Могилёва В.Н., Цветкова М.С., Курис;Могилев Информатика 3 кл. Рабочая тетрадь Ч.1  ФГОС (Бином);Бином;978-5-09-085545-7;20; ;2021; ;ФГОС;301.4;;286.4
2233;55609836;Могилёв А.В., Могилёва В.Н., Цветкова М.С., Курис;Могилев Информатика 3 кл. Рабочая тетрадь Ч.2  ФГОС (Бином);Бином;978-5-09-085546-4;25; ;2021; ;ФГОС;255.2;;242.5
2234;55608502;Могилёв А.В., Могилёва В.Н. Цветкова М.С.;Могилев Информатика 3 кл. ч.1,2 (комплект) ФГОС (Бином);Бином;978-5-9963-1422-5;12; ;2019;ФП;ФГОС;457.9;;457.9
2235;55608503;Могилёв А.В., Могилёва В.Н. Цветкова М.С.;Могилев Информатика 4 кл. ч.1,2 (комплект) ФГОС (Бином);Бином;978-5-9963-4831-2;12; ;2019;ФП;ФГОС;407.8;;407.8
2236;65681216;Могилев А.В., Могилева В.Н., Цветкова М.С.;Могилев Информатика. 3 класс. Учебник в 2 ч. Часть 1(Бином);Просвещение/Союз;978-5-09-090295-3;18; ;2022;ФП; ;371.3;;371.3
2237;65681333;Могилев А.В., Могилева В.Н., Цветкова М.С.;Могилев Информатика. 3 класс. Учебник в 2 ч. Часть 2(Бином);Просвещение/Союз;978-5-09-090297-7;18; ;2022;ФП; ;371.3;;371.3
2238;65684845;Могилев А.В.  Могилева В.Н. Цветкова М.С.;Могилев Информатика. 4 класс. Учебник. В 2 ч. Часть 1(Бином);Просвещение/Союз; ;200; ;2022;ФП;ФГОС; ;; 
2239;65684410;Могилев А.В.  Могилева В.Н. Цветкова М.С.;Могилев Информатика. 4 класс. Учебник. В 2 ч. Часть 2 (Бином);Просвещение/Союз; ;200; ;2022;ФП;ФГОС; ;; 
2240;55620135;Аверкин Ю.А., Павлов Д.И.;Павлов Информатика 1кл. Рабочая тетрадь Ч.1 / под ред. Горячева А.В. (Бином);Бином;978-5-09-093145-8;25; ;2022; ;ФГОС;280;;266
2241;55622019;Аверкин Ю.А., Павлов Д.И.;Павлов Информатика 1кл. Рабочая тетрадь Ч.2 / под ред. Горячева А.В.(Бином);Бином;978-5-09-093146-5;25; ;2022; ;ФГОС;280;;266
2242;55628805;Аверкин Ю.А., Павлов Д.И.;Павлов Информатика 2кл. Рабочая тетрадь Ч.1 / под ред. Горячева А.В. (Бином);Бином;978-5-09-089299-5;20; ;2022; ;ФГОС;280;;266
2243;55628806;Аверкин Ю.А., Павлов Д.И.;Павлов Информатика 2кл. Рабочая тетрадь Ч.2 / под ред. Горячева А.В. (Бином);Бином;978-5-09-089300-8;20; ;2022; ; ;280;;266
2244;55628807;Аверкин Ю.А., Павлов Д.И.;Павлов Информатика 3кл. Рабочая тетрадь Ч.1/ под ред. Горячева А.В. (Бином);Бином;978-5-09-092731-4;25; ;2022; ;ФГОС;280;;266
2245;55628808;Аверкин Ю.А., Павлов Д.И.;Павлов Информатика 3кл. Рабочая тетрадь Ч.2 / под ред. Горячева А.В. (Бином);Бином;978-5-09-092733-8;25; ;2022; ;ФГОС;280;;266
2246;55628809;Аверкин Ю.А., Павлов Д.И.;Павлов Информатика 4кл. Рабочая тетрадь Ч.1 / под ред. Горячева А.В. (Бином);Бином;978-5-09-093150-2;25; ;2021-2022; ;ФГОС;280;;266
2247;55628810;Аверкин Ю.А., Павлов Д.И.;Павлов Информатика 4кл. Рабочая тетрадь Ч.2 / под ред. Горячева А.В. (Бином);Бином;978-5-09-093151-9;25; ;2021-2022; ;ФГОС;280;;266
2248;55603562;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 10кл (Углубленный уровень) ч.1,2 (комплект) ФГОС (Бином);Бином;978-5-9963-4947-0;6; ;2019; ;ФГОС;561.33;;561.33
2249;55603563;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 11кл (Углубленный уровень) ч.1,2 (комплект) (Бином);Бином;978-5-9963-4950-0;6; ;2019; ;ФГОС;496.44;;496.44
2250;55627542;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 7кл. Рабочая тетрадь. В 2-х частях. Ч. 1. (Бином);Бином;978-5-09-091196-2;50; ;2021-2022; ;ФГОС;173.8;;165.2
2251;55627543;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 7кл. Рабочая тетрадь. В 2-х частях. Ч. 2. (Бином);Бином;978-5-09-091198-6;50; ;2021-2022; ;ФГОС;173.8;;165.2
2252;55638218;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 8кл. Рабочая тетрадь в 2-х ч. Ч.1 (Бином);Бином;978-5-09-090312-7;30; ;2022; ; ;173.8;;165.2
2253;55638219;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 8кл. Рабочая тетрадь в 2-х ч. Ч.2 (Бином);Бином;978-5-09-090314-1;30; ;2022; ; ;173.8;;165.2
2254;65678591;Поляков К.Ю.;Поляков Информатика. 10-11 класс. Программирование. В 2 ч. Ч.1  Учебное пособие(Бином);Просвещение/Союз;978-5-09-093805-1;10; ;2022; ; ;519.2;;493.3
2255;65678594;Поляков К.Ю.;Поляков Информатика. 10-11 класс. Программирование. В 2 ч. Ч.2  Учебное пособие(Бином);Просвещение/Союз;978-5-09-093806-8;10; ;2022; ; ;519.2;;493.3
2256;55622575;Поляков К.Ю., Еремин Е.А.;Поляков Информатика. 7 класс. Углубленный уровень. В 2 ч. Ч. 1  Учебное пособие(Бином);Просвещение/Союз;978-5-09-093808-2;24; ;2022; ; ;519.2;;493.3
2257;55622576;Поляков К.Ю., Еремин Е.А.;Поляков Информатика. 7 класс. Углубленный уровень. В 2 ч. Ч. 2  Учебное пособие(Бином);Просвещение/Союз;978-5-09-093809-9;24;55635642;2022; ; ;519.2;;493.3
2258;65678582;Поляков К.Ю., Еремин Е.А.;Поляков Информатика. 8 класс. Углубленный уровень. В 2 ч. Ч. 1  Учебное пособие(Бином);Просвещение/Союз;978-5-09-081061-6;16; ;2022; ; ;519.2;;493.3
2259;65678583;Поляков К.Ю., Еремин Е.А.;Поляков Информатика. 8 класс. Углубленный уровень. В 2 ч. Ч. 2  Учебное пособие(Бином);Просвещение/Союз;978-5-09-081063-0;14; ;2022; ; ;519.2;;493.3
2260;65678586;Поляков К.Ю., Еремин Е.А.;Поляков Информатика. 9 класс. Углубленный уровень. В 2 ч. Ч. 1  Учебное пособие(Бином);Просвещение/Союз;978-5-09-081058-6;16; ;2022; ; ;519.2;;493.3
2261;65678587;Поляков К.Ю., Еремин Е.А.;Поляков Информатика. 9 класс. Углубленный уровень. В 2 ч. Ч. 2  Учебное пособие(Бином);Просвещение/Союз;978-5-09-081060-9;12; ;2022; ; ;519.2;;493.3
2262;55638226;Поляков К.Ю., Еремин Е.А.;Поляков Информатика. 9 класс: рабочая тетрадь в 2-х ч. Ч.1(Бином);Бином;978-5-9963-3173-4;40; ;2019; ;ФГОС;74.97;;74.97
2263;65677615;Поляков К.Ю., Еремин Е.А.;Поляков Информатика. 9 класс: рабочая тетрадь в 2-х ч. Ч.1(Бином);Просвещение/Союз;978-5-09-091199-3;40; ;2022; ;ФГОС;173.8;;165.2
2264;65677616;Поляков К.Ю., Еремин Е.А.;Поляков Информатика. 9 класс: рабочая тетрадь в 2-х ч. Ч.2 (Бином);Просвещение/Союз;978-5-09-091201-3;40; ;2022; ;ФГОС;173.8;;165.2
2265;65684425;Поляков К. Ю., Еремин Е. А.;Поляков Информатика. Задачник 10-11 класс БУ+УУ. В 2 частях. Ч. 1(Бином);Просвещение/Союз; ;200; ;2023; ;ФГОС;404.3;;384.1
2266;65684426;Поляков К. Ю., Еремин Е. А.;Поляков Информатика. Задачник 10-11 класс БУ+УУ. В 2 частях. Ч. 2 (Бином);Просвещение/Союз; ;200; ;2023; ; ;404.3;;384.1
2267;65650385;Поляков К.Ю.;Поляков Программирование. Python. С++. Часть 1 (Бином);Бином;978-5-09-083981-5;12; ;2021; ; ;478.5;;454.6
2268;65650386;Поляков К.Ю.;Поляков Программирование. Python. С++. Часть 2 (Бином);Бином;978-5-09-092023-0;12; ;2022; ; ;478.5;;454.6
2269;65650387;Поляков К.Ю.;Поляков Программирование. Python. С++. Часть 3 (Бином);Бином;978-5-09-083984-6;12; ;2020-2021; ; ;478.5;;454.6
2270;65650388;Поляков К.Ю.;Поляков Программирование. Python. С++. Часть 4 (Бином);Бином;978-5-09-083985-3;12; ;2020-2021; ; ;478.5;;454.6
2271;55623566;Бутягина К.Л.;Программы. Примерные рабочие программы. Информатика 10-11кл. (Бином);Бином;978-5-9963-3992-1;20; ;2018; ; ;400;;380
2272;55627393;Цветкова М.С.;Программы. Примерные рабочие программы. Информатика 2-4кл. (Бином);Бином;978-5-9963-5015-5;40; ;2019; ; ;267;;253.7
2273;55623568;Бутягина К.Л.;Программы. Примерные рабочие программы. Информатика 5-9кл. (Бином);Бином;978-5-9963-3746-0;16; ;2018; ;ФГОС;438.9;;417
2274;55627544;Семакин И.Г., Хеннер Е.К.;Семакин Информатика 10-11 кл. Базовый уровень. Методическое пособие ФГОС (Бином);Бином;978-5-9963-3404-9;30; ;2018; ;ФГОС;154;;146.3
2275;55604611;Семакин И.Г., Хеннер Е.К., Шестакова Л.В.;Семакин Информатика 10-11 кл. Практикум ч.1. Углубленный уровень (Бином);Бином;978-5-9963-1642-7;15; ;2018; ; ;215;;204.3
2276;55604612;Семакин И.Г., Хеннер Е.К., Шестакова Л.В.;Семакин Информатика 10-11 кл. Практикум ч.2. Углубленный уровень (Бином);Бином;978-5-9963-1643-4;15; ;2018; ; ;182;;172.9
2277;55619169;Семакин И.Г.;Семакин Информатика 10-11 кл. Примерная рабочая программа  (Бином);Бином;978-5-9963-4028-6;40; ;2019; ;ФГОС;222;;210.9
2278;65657818;Семакин И.Г., Шеина Т.Ю., Шестакова Л.В.;Семакин Информатика 10кл. Углубл. уровень Ч.1 (из комплекта) ФГОС (Бином);Бином;978-5-09-087407-6;12;55611961;2021-2022;ФП;ФГОС;586.5;;586.5
2279;65657819;Семакин И.Г., Шеина Т.Ю., Шестакова Л.В.;Семакин Информатика 10кл. Углубл. уровень Ч.2 (из комплекта) ФГОС (Бином);Бином;978-5-09-087408-3;12; ;2021-2022;ФП;ФГОС;586.5;;586.5
2280;65662461;Семакин И.Г., Хеннер Е.К., Шестакова Л.В.;Семакин Информатика 11кл. Углубл. уровень Часть 1 ФГОС (Бином);Бином;978-5-09-087814-2;16;55611962;2021-2022;ФП;ФГОС;586.5;;586.5
2281;65662462;Семакин И.Г., Хеннер Е.К., Шестакова Л.В.;Семакин Информатика 11кл. Углубл. уровень Часть 2 ФГОС (Бином);Бином;978-5-09-087809-8;16; ;2021-2022;ФП;ФГОС;586.5;;586.5
